Don't Breathe,2015,7
Bullet Train,2022,8
Emily the Criminal,2022,5
The Grey,2011,4
The Hills Have Eyes,2006,8
The Haunted World of El Superbeasto,2009,
RRR,2022,9
A Cure for Wellness,2017,7
Burn,2019,7
Inside Job,2021 – ...,7
Hotel Transylvania,2012,8
Grown Ups,2010,6
Click,2006,8
Tag,2018,7
Polar,2019,7
Bird Box,2018,8
The Hitchhiker's Guide to the Galaxy,2005,
Disturbia,2007,8
Premières vacances,2018,6
We Need to Talk About Kevin,2010,7
The Girl on the Train,2016,4
The Ritual,2017,7
The VVitch: A New-England Folktale,2015,6
In the Heart of the Sea,2015,6
Silver Linings Playbook,2012,7
The Meg,2018,3
The Boy,2015,4
Nightmare Alley,2021,5
Speed,1994,6
Coco,2017,
La haine,1995,7
Starsky & Hutch,2004,4
The King's Man,2021,4
Peacemaker,2022 – ...,9
The Suicide Squad,2021,6
Sinister,2012,7
War Dogs,2016,6
The Death of Stalin,2017,6
Holidate,2020,6
Willy's Wonderland,2020,5
21 Jump Street,2012,8
Klondike,2014,6
The Guilty,2021,8
Reacher,2022 – ...,8
Wild Things,1998,
Starship Troopers,1997,
Superbad,2007,
Malignant,2021,6
Inferno,2016,
The White Tiger,2020,8
Don't Look Up,2021,8
The Big Short,2015,7
"Psiconautas, los niños olvidados",2015,7
Brassic,2019 – ...,7
RoboCop,2014,7
Le daim,2019,6
Pusher,1996,6
A Serious Man,2009,7
Dune: Part One,2021,7
The Others,2001,6
Big Nothing,2006,8
Face/Off,1997,8
Good Bye Lenin!,2003,6
Under the Silver Lake,2018,7
Project Blue Book,2019 – 2020,6
Calvary,2013,7
Hot Shots!,1991,7
Side Effects,2013,8
Bad Boys for Life,2020,5
The Last Boy Scout,1991,6
The A-Team,2010,
BAC Nord,2020,5
Darkest Hour,2017,8
Game Night,2018,7
The Other Guys,2010,6
The Perks of Being a Wallflower,2012,7
Coming to America,1988,7
Pride & Prejudice,2005,
Self/less,2015,6
Preacher,2016 – 2019,7
Archive,2020,6
The Maze Runner,2014,
T2 Trainspotting,2017,6
The Taking of Pelham 123,2009,5
Dark Waters,2019,7
The Green Knight,2020,7
Free Guy,2021,7
American Animals,2018,6
Observe and Report,2009,6
The Kid Detective,2020,7
Retfærdighedens ryttere,2020,8
Dhoom:3,2013,5
What We Do in the Shadows,2014,
The Naked Gun 2½: The Smell of Fear,1991,8
Bluff storia di truffe e di imbroglioni,1976,6
Cruella,2021,6
Uma Vida Sublime,2018,7
Wrath of Man,2021,7
Il burbero,1986,7
Nomadland,2020,5
Boss Level,2019,6
War on Everyone,2015,6
Nobody,2021,7
Murder Mystery,2019,7
Safety Not Guaranteed,2012,7
I Care a Lot,2020,7
"Me, Myself & Irene",2000,
Let's Be Cops,2014,6
WandaVision,2021,7
Mortal Kombat,2021,6
Freaky,2020,6
True Grit,2010,8
Druk,2020,7
Exit Through the Gift Shop,2010,7
Project X,2012,7
Blade II,2002,8
2012,2009,7
99 francs,2007,
Furious 6,2013,8
It's All Gone Pete Tong,2004,
Ready Player One,2018,6
Do lok tin si,1995,9
True Romance,1993,9
Operation Odessa,2018,8
De wilde stad,2018,7
The Choice Is Ours,2016,6
Men in Black 3,2012,7
Men in Black II,2002,6
Fantastic Fungi,2019,7
Human Nature,2019,9
Hodejegerne,2011,7
Sharp Objects,2018,6
The Words,2012,7
Mid90s,2018,7
The House That Jack Built,2018,7
The Devil All the Time,2020,8
Palm Springs,2020,7
The Happening,2008,6
Freaks,2018,7
Paprika,2006,
McQueen,2018,6
The Vast of Night,2019,7
Wind River,2016,8
Ford v Ferrari,2019,9
The Hunt,2019,6
Tenet,2020,8
Sound of Noise,2010,4
Good Time,2017,8
Once Upon a Time in Mexico,2003,9
War of the Worlds,2005,
SLC Punk!,1998,8
The Mist,2007,9
Pineapple Express,2008,7
Idiocracy,2005,7
Berlin Calling,2008,6
Uncut Gems,2019,6
Casino Royale,2006,5
The Lighthouse,2019,5
The Boys,2019 – ...,8
Redirected,2014,7
Midnight Run,1988,7
Babysitting,2014,8
Me and Earl and the Dying Girl,2015,7
Jojo Rabbit,2019,8
Just Like Heaven,2005,7
Easy Money,1983,7
Hellboy,2019,7
A Million Ways to Die in the West,2014,8
The Gunfighter,2013,8
El hoyo,2019,7
Enter the Void,2009,10
The Gentlemen,2019,9
Real Men,1987,6
Night at the Museum,2006,7
The Hitman's Bodyguard,2017,7
Kingsglaive: Final Fantasy XV,2016,6
The Peanut Butter Falcon,2019,8
The Gods Must Be Crazy,1980,8
Guns Akimbo,2019,7
Hotel Mumbai,2018,7
Hesher,2010,8
L'immortel,2010,
Tres metros sobre el cielo,2010,6
We're the Millers,2013,7
Knives Out,2019,8
The Room,2003,
The Devil's Double,2011,7
Unknown,2011,6
Sorry to Bother You,2018,7
Chronicle,2012,8
A Scanner Darkly,2006,8
Catch-22,2019,9
Eagle Eye,2008,6
Vice,2018,6
DMT: The Spirit Molecule,2010,6
Joker,2019,9
Once Upon a Time in... Hollywood,2019,10
John Wick,2014,9
The Squid and the Whale,2005,8
American Made,2017,7
Happy Death Day,2017,7
The Intern,2015,7
About Time,2013,7
El cuerpo,2012,7
The Reader,2008,6
World War Z,2013,8
Modern Family,2009 – 2020,9
Cloud Atlas,2012,7
Stuber,2019,7
Why Are We Creative: The Centipede's Dilemma,2018,9
Hunt for the Wilderpeople,2016,8
Midsommar,2019,7
Sucker Punch,2011,7
Lumière!,2016,
Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence,2007,7
The Lincoln Lawyer,2011,6
Us,2019,7
The Book of Eli,2009,
The Dead Don't Die,2019,6
Boku dake ga inai machi,2016,8
The Double,2013,8
Risky Business,1983,8
Fast & Furious Presents: Hobbs & Shaw,2019,8
Gisaengchung,2019,7
Akira,1987,8
How I Met Your Mother,2005 – 2014,10
Brooklyn Nine-Nine,2013 – 2021,9
The Secret Life of Walter Mitty,2013,9
He Died with a Felafel in His Hand,2001,
The Village,2004,
Dazed and Confused,1993,
The Nice Guys,2016,
Tusk,2014,5
Samsara,2011,7
As Good as It Gets,1997,7
Moonbeam City,2015,6
Captain Fantastic,2016,7
After the Dark,2013,5
Spider-Man: Into the Spider-Verse,2018,10
Highway,2001,4
Velvet Buzzsaw,2019,5
Atomic Blonde,2017,7
Dark,2017 – 2020,7
Papillon,2017,7
Bad Times at the El Royale,2018,7
The Man Who Killed Hitler and Then the Bigfoot,2018,7
Altered Carbon,2018 – 2020,7
Following,1999,7
Hereditary,2018,6
Tengo ganas de ti,2012,
Fantastic Beasts: The Crimes of Grindelwald,2018,6
Serpico,1973,7
The Fifth Element,1997,10
Green Book,2018,9
Blood Simple,1983,9
Harold & Kumar Escape from Guantanamo Bay,2008,8
Harold & Kumar Go to White Castle,2004,8
Upgrade,2018,9
Isle of Dogs,2018,10
Lola rennt,1998,8
Curdled,1996,8
21,2008,
London Fields,2018,9
Ex Machina,2014,9
Kimi no na wa.,2016,
Cobra,1986,7
Serial Experiments Lain,1998,9
Drive,2011,7
À bout de souffle,1960,7
Rat Race,2001,7
Pleasantville,1998,8
Dead Poets Society,1989,6
La leggenda del pianista sull'oceano,1998,8
Goodfellas,1990,8
Searching,2018,8
Atlanta,2016 – ...,
Unsane,2018,9
Climax,2018,9
X-Men: Days of Future Past,2014,8
X-Men: First Class,2011,8
9,2009,
Sleuth,2007,8
12 Years a Slave,2013,8
127 Hours,2010,8
Taxi Driver,1976,7
The Shining,1980,9
The Straight Story,1999,9
Kanojo to Kanojo no Neko: Everything Flows,2016,7
Re:Zero kara Hajimeru Isekai Seikatsu,2016 – 2021,10
The Cloverfield Paradox,2018,6
Final Space,2018 – 2021,8
Loving Vincent,2017,9
Eyes Wide Shut,1999,8
Repo Men,2009,6
Cast Away,2000,9
The Leftovers,2014 – 2017,8
Noel Fielding's Luxury Comedy,2012 – 2014,8
Spring Breakers,2012,
Go,1999,7
Road Trip,2000,
EuroTrip,2004,8
Nightcrawler,2013,8
The Vanishing of Sidney Hall,2017,8
Prisoners,2013,9
The Booth at the End,2011 – 2012,8
Przypadek,1981,7
Green Room,2015,8
Blue Mountain State,2010 – 2011,9
Arrested Development,2003 – ...,8
Scrubs,2001 – 2010,9
Community,2009 – 2015,8
Mr. Pickles,2013 – 2019,8
The Venture Bros.,2003 – 2018,8
BoJack Horseman,2014 – 2020,9
Archer,2009,9
"Paris, je t'aime",2006,7
Det sjunde inseglet,1957,8
En man som heter Ove,2015,9
Get Out,2017,8
A Dog's Purpose,2017,8
What's with Andy?,2001 – 2007,8
Jackie Chan Adventures,2000 – 2005,8
Brickleberry,2012 – 2014,8
Ugly Americans,2010 – 2012,9
The Boondocks,2005 – 2014,8
The Age of Adaline,2015,
The King's Speech,2010,8
Lady Bird,2017,8
Oldeuboi,2003,10
Annihilation,2017,8
Battlestar Galactica,2004 – 2009,8
Battlestar Galactica,2003,
Twin Peaks,2017,
12 Angry Men,1956,8
Manhattan,1979,7
Boksuneun naui geot,2002,7
"I, Tonya",2017,7
Jagten,2012,8
Fantastic Mr. Fox,2009,7
Baby Driver,2017,7
Gattaca,1997,7
A Clockwork Orange,1971,9
Westworld,2016 – ...,8
"Three Billboards Outside Ebbing, Missouri",2017,8
Serbuan maut,2011,8
Amores perros,2000,
Thursday,1998,
The Boondock Saints,1999,6
Howl no Ugoku Shiro,2004,9
Blade Runner 2049,2017,8
Her,2013,8
Kung Fury,2015,9
Pulse,2006,6
The Man from Earth,2007,7
The Killing of a Sacred Deer,2017,7
Tropic Thunder,2008,6
La migliore offerta,2012,8
Les Misérables,1998,
The Godfather,1972,9
The Cell,2000,
The Neon Demon,2016,6
El laberinto del fauno,2006,6
Coherence,2012,8
11:14,2003,8
Pink Floyd: The Wall,1982,8
Another Earth,2011,8
Paterson,2016,
I Origins,2014,9
There Will Be Blood,2007,9
When You're Strange,2009,9
Panic Room,2002,8
Hostage,2005,8
The Game,1997,9
The Doors,1991,7
Sing Street,2015,8
Mononoke-hime,1997,7
3:10 to Yuma,2007,
Night on Earth,1991,
Zodiac,2007,7
Good Will Hunting,1997,7
Apocalypse Now,1979,8
Sen to Chihiro no kamikakushi,2001,8
Braveheart,1995,7
Brothers,2009,7
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,9
mother!,2017,9
It,2017,7
Logan,2017,7
Doctor Strange,2016,6
Guardians of the Galaxy Vol. 2,2017,7
The Man from U.N.C.L.E.,2015,7
Kingsman: The Secret Service,2015,8
The Take,2009,
The Belko Experiment,2017,7
Phone Booth,2002,8
Desperado,1995,8
Inglourious Basterds,2009,7
Entourage,2004 – 2011,8
The Amityville Horror,2005,6
Monty Python and the Holy Grail,1975,8
Life of Brian,1979,7
Hacksaw Ridge,2016,6
The Guard,2011,
Demolition,2015,7
L'accordeur,2010,8
Warcraft,2016,6
The Day After Tomorrow,2004,7
Source Code,2011,8
Spotlight,2015,7
Argo,2012,6
Nocturnal Animals,2016,7
Centurion,2009,
American Gods,2017 – 2021,8
Terminator 2: Judgment Day,1991,6
Passengers,2016,6
Dunkirk,2017,9
Koukaku Kidoutai,1995,10
The Time Machine,2002,
"Hail, Caesar!",2016,6
Six-String Samurai,1998,8
Twin Peaks,1990 – 2017,
8½,1963,8
The People vs. Larry Flynt,1996,6
Everest,2015,7
Free State of Jones,2016,7
Alien: Covenant,2017,7
100 Girls,2000,6
Moonlight,2016,7
The Jacket,2004,8
Frozen,2010,
Get Him to the Greek,2010,
Troy,2004,8
King Arthur: Legend of the Sword,2017,7
Pi,1997,9
Serenity,2005,8
Red Eye,2005,7
Man Seeking Woman,2015 – 2017,
A Series of Unfortunate Events,2004,
Donnie Darko,2001,10
The Promise,2016,7
"Dude, Where's My Car?",2000,
Bad Santa,2003,7
Contratiempo,2016,8
13 Reasons Why,2017 – 2020,8
Liberal Arts,2011,8
Bob's Burgers,2011 – 2022,7
The Purge,2013,7
Noragami,2014 – 2015,9
28 Days Later...,2002,7
John Dies at the End,2012,8
Eden Lake,2008,
The Transporter,2002,
The Dreamers,2003,
Ghost in the Shell,2017,8
The Royal Tenenbaums,2001,
Moonrise Kingdom,2012,8
The Crazies,2010,7
Life,2017,
The Edge,1997,8
End of Watch,2012,8
The Walk,2015,7
The Dark Knight Rises,2012,
Django Unchained,2012,
The Dark Knight,2008,
The Ring,2002,
Split,2017,7
The Hangover,2009,7
Twelve Monkeys,1995,8
Fear and Loathing in Las Vegas,1998,9
Men in Black,1997,8
From Dusk Till Dawn,1995,9
Saw,2004,9
Edge of Tomorrow,2014,8
Four Rooms,1995,9
The Girl with the Dragon Tattoo,2011,7
The Illusionist,2005,
Harry Potter and the Chamber of Secrets,2002,8
Life of Pi,2012,7
Edward Scissorhands,1990,8
Apocalypto,2006,9
Limitless,2011,8
Kill Bill: Vol. 1,2003,9
The Mask,1994,7
The Great Gatsby,2013,7
Harry Potter and the Deathly Hallows: Part 2,2011,7
Gangs of New York,2002,8
Star Wars,1977,8
The Life of David Gale,2002,8
Harry Potter and the Sorcerer's Stone,2001,8
Changeling,2008,8
Harry Potter and the Prisoner of Azkaban,2004,8
Filth,2013,9
The Notebook,2004,8
Star Wars: Episode V - The Empire Strikes Back,1980,8
Star Wars: Episode III - Revenge of the Sith,2005,8
Ocean's Eleven,2001,7
Gone Girl,2014,8
Watchmen,2009,7
Star Wars: Episode VI - Return of the Jedi,1983,9
Home Alone,1990,8
Groundhog Day,1993,8
The Terminal,2004,8
Il bisbetico domato,1980,7
Back to the Future Part II,1989,7
The Revenant,2015,9
The Grand Budapest Hotel,2014,9
Scarface,1983,7
Whiplash,2013,7
Intouchables,2011,7
Into the Wild,2007,7
The Thing,1982,6
This Means War,2012,7
Collateral,2004,7
The Fifth Estate,2013,
The Social Network,2010,7
A Beautiful Mind,2001,9
Dexter,2006 – 2013,8
Who Am I - Kein System ist sicher,2014,
Mr. Robot,2015 – 2019,
You're Next,2013,
Jumanji,1995,
The Last Man on Earth,2015 – 2018,
Natural Born Killers,1994,
Brimstone,2016,6
Sushi Girl,2012,6
Bridge to Terabithia,2006,
Fargo,2014 – 2020,9
Scouts Guide to the Zombie Apocalypse,2015,
The Thirteenth Floor,1999,8
Domino,2005,
Pandorum,2009,8
Over the Garden Wall,2014,8
Ant-Man,2015,6
The Lovely Bones,2009,8
Braindead,1992,6
American Beauty,1999,10
Jaws,1975,
Alien,1979,7
Knowing,2009,
Small Soldiers,1998,
The Abyss,1989,8
Arrival,2016,7
Contact,1997,
Prometheus,2012,8
Armageddon,1998,
The Martian,2015,7
Oblivion,2013,7
Cube,1997,
The Faculty,1998,
Gravity,2013,
In Time,2011,6
The Hunger Games,2012,5
Sunshine,2007,8
Children of Men,2006,8
Dawn of the Dead,2004,
The Adjustment Bureau,2011,
Minority Report,2002,
"I, Robot",2004,
I Am Legend,2007,
The Avengers,2012,
Iron Man,2008,
Mr. Nobody,2009,9
Star Trek Beyond,2016,7
Star Trek Into Darkness,2013,7
11.22.63,2016,9
Confessions of a Dangerous Mind,2002,8
"O Brother, Where Art Thou?",2000,6
Control,2007,6
Shoot 'Em Up,2007,
Busanhaeng,2016,7
"You, Me and the Apocalypse",2015,9
The Imaginarium of Doctor Parnassus,2009,7
Zootopia,2016,8
Thank You for Smoking,2005,7
Blue Velvet,1986,6
Hell or High Water,2016,7
The Machinist,2003,8
Out of the Furnace,2013,6
The Fountain,2006,8
Nerve,2016,7
No Country for Old Men,2007,9
The Big Lebowski,1998,8
The Ladykillers,2004,7
Barton Fink,1991,8
Burn After Reading,2008,7
Lucky Number Slevin,2005,7
2001: A Space Odyssey,1968,8
Swiss Army Man,2016,10
Clerks.,1994,8
The Imitation Game,2014,7
Se7en,1995,9
The Silence of the Lambs,1990,8
Léon,1994,8
Blade Runner,1982,8
Grindhouse,2007,8
Primal Fear,1996,9
Greek,2007 – 2011,7
Trance,2013,8
Joy Ride,2001,7
Alpha Dog,2005,8
Sausage Party,2016,6
The Da Vinci Code,2006,
The Boat That Rocked,2009,
Orphan,2009,
Mysterious Skin,2004,5
Adult World,2013,7
Vinyl,2016,8
New Kids Turbo,2010,6
Mean Machine,2001,
Bronson,2008,7
Suicide Squad,2016,7
Super 8,2011,
Star Trek,2009,6
I Love You Phillip Morris,2008,7
Vi är bäst!,2013,6
Red State,2011,8
The Last Samurai,2003,6
Memento,2000,7
10 Cloverfield Lane,2016,
It's Kind of a Funny Story,2010,8
Independence Day,1996,6
Ruby Sparks,2012,8
The Sopranos,1999 – 2007,
In Bruges,2007,8
The Lobster,2015,8
Now You See Me,2013,6
Frank,2013,7
Before I Wake,2014,3
Silicon Valley,2014 – 2019,10
Thelma & Louise,1991,
Dallas Buyers Club,2013,8
Dobermann,1997,8
The Hateful Eight,2015,9
Black Mass,2015,6
One Punch Man,2015 – 2019,10
American Ultra,2015,7
Fargo,1995,9
Wicker Park,2004,7
The Family,2013,7
Deadpool,2016,5
The Wolf of Wall Street,2013,8
Chapter 27,2006,6
The Bank Job,2008,7
Pride and Prejudice and Zombies,2015,7
3 Idiots,2009,7
"Harvey Birdman, Attorney at Law",2000 – 2007,9
A Lot Like Love,2005,7
(500) Days of Summer,2009,9
Ten Inch Hero,2006,7
Juno,2007,7
Le Fabuleux destin d'Amélie Poulain,2001,9
Full Metal Jacket,1987,9
10 Things I Hate About You,1999,9
Sin City,2005,8
Narcos,2015 – 2017,
Being John Malkovich,1999,8
American Psycho,2000,8
Dead Man,1995,
The Curious Case of Benjamin Button,2008,9
Requiem for a Dream,2000,9
Eternal Sunshine of the Spotless Mind,2004,9
Reservoir Dogs,1991,10
Mankind: The Story of All of Us,2012,10
V for Vendetta,2006,
The Judge,2014,
Trainspotting,1995,9
Interstate 60,2001,8
L.A. Confidential,1997,7
District 9,2009,8
RocknRolla,2008,10
London Boulevard,2010,8
Smokin' Aces,2007,8
Seven Psychopaths,2012,8
Revolver,2005,10
The Butterfly Effect,2003,9
Falling Down,1992,8
50/50,2011,7
Blow,2001,8
Gladiator,2000,8
The Prestige,2006,8
Pulp Fiction,1994,10
Knockin' on Heaven's Door,1997,9
Interstellar,2014,8
Fight Club,1999,9
Inception,2010,7
Forrest Gump,1994,9
The Green Mile,1999,8
The Shawshank Redemption,1994,
God Bless America,2011,9
Machete,2010,9
K-PAX,2001,9
The Devil's Advocate,1997,7
The Usual Suspects,1995,10
Scott Pilgrim vs. the World,2010,9
Moon,2009,9
Mad Max: Fury Road,2015,10
Snatch,2000,9
The Departed,2006,10
"Lock, Stock and Two Smoking Barrels",1998,9
Enemy,2013,6
Birdman or (The Unexpected Virtue of Ignorance),2014,6
The Interview,2014,7
